BookID,FormatID,Edition,Book Name,Genre,Genre Group,More than One Edition (1=Y),Author1ID,Author2ID,Author 1 - First Name,Author 1 - Last Name,Author 1 - Gender (1=M),Author 1 - Country of Origin,Author 1 - Ethnicity,Author 1 - DOB,Author 1 - Age,Author 2 - First Name,Author 2 - Last Name,Author 2 - Gender (1=M),Any Female Authors (0 = Y),Author 2 - Country of Origin,Author 2 - Ethnicity,Author 2 - DOB,Author 2 - Age,LanguageID,Mentions,Pages,PlaceOfPublicationID,PublisherID,Size,Date,Width,Depth,Height,Unit,Year,Decade,Any Female Authors?,Gender,Race
0,SC,NA,7 Miles A Second,Memoir,Graphic Novel,1,0,N/A,David,Wojnarowicz,1,USA,White,19981,41,NA,NA,NA,1,NA,NA,NA,NA,English,1,64,"Seattle, USA",Fantagraphics,6.6 x 0.1 x 10.2 inches,5/1/1996,6.6,0.1,10.2,inches,1996,1990-1999,Only Male Author(s),Male,White
1,SC,Reprint Edition,A Contract With God,Fiction,Non-Fiction,0,1,N/A,Will,Eisner,1,USA,White,6275,89,NA,NA,NA,1,NA,NA,NA,NA,English,4,208,"New York, USA",W. W. Norton and Company,7.1 x 0.6 x 9.9 inches,12/17/2006,7.1,0.6,9.9,inches,2006,2000-2009,Only Male Author(s),Male,White
3,HC,NA,A Small Killing,Literary Fiction,Graphic Novel,1,3,N/A,Alan,Moore,1,UK,White,19681,49,NA,NA,NA,1,NA,NA,NA,NA,English,1,104,"Rantoul, USA",Avatar Press,8.8 x 0.5 x 11.2 inches,8/18/2003,8.8,0.5,11.2,inches,2003,2000-2009,Only Male Author(s),Male,White
4,SC,NA,Tale of Sand,Literary Fiction,Graphic Novel,0,4,5,Jim,Henson,1,USA,White,13417,76,Jerry,Juhl,1,1,USA,White,14088,74,English,1,120,"Los Angeles, USA",Archaia,8.2 x 11 inches,12/11/2012,8.2,0.8,11,inches,2012,2010-2017,Only Male Author(s),Male,White
5,HC,Slp edition,Absolute Justice,Superhero,Graphic Novel,0,6,7,Alex,Ross,1,USA,White,25590,39,Jim,Krueger,1,1,USA,White,0,NA,English,1,496,"New York, USA",DC Comics,8.6 x 1.6 x 12.8 inches,11/17/2009,8.6,1.6,12.8,inches,2009,2000-2009,Only Male Author(s),Male,White
6,HC,First Edition,Age of Ultron,Superhero,Graphic Novel,1,8,N/A,Brian Michael,Bendis,1,USA,White,24702,46,NA,NA,NA,1,NA,NA,NA,NA,English,1,504,"New York, USA",Marvel,19.7 x 2.5 x 28.6 cm,9/17/2013,7.8,1,11.2,inches,2013,2010-2017,Only Male Author(s),Male,White
8,SC,Reprint Edition,American Born Chinese,Literary Fiction,Graphic Novel,1,10,N/A,Gene Luen,Yang,1,USA,Asian,26885,33,NA,NA,NA,1,NA,NA,NA,NA,English,2,233,"New York, USA",First Second,5.5 x 0.5 x 8.2 inches,12/23/2006,5.5,0.5,8.2,inches,2006,2000-2009,Only Male Author(s),Male,Asian
9,SC,1st edition,American Splendor,Memoir,Graphic Novel,0,11,N/A,Harvey,Pekar,1,USA,White,14526,63,NA,NA,NA,1,NA,NA,NA,NA,English,0,320,"New York, USA",Ballantine Books,8.3 x 0.8 x 10.9 inches,7/29/2003,8.3,0.8,10.9,inches,2003,2000-2009,Only Male Author(s),Male,White
10,HC,Gph edition,American Widow,Memoir,Graphic Novel,0,12,N/A,Alissa,Torres,0,Unknown,Unknown,0,NA,NA,NA,NA,0,NA,NA,NA,NA,English,0,209,"New York, USA",Villard,7.3 x 0.8 x 9.6 inches,9/9/2008,7.3,0.8,9.6,inches,2008,2000-2009,At Least 1 Female Author,Female,Unknown
11,HC,First Edition,Asterios Polyp,Literary Fiction,Graphic Novel,0,13,N/A,David,Mazzucchelli,1,USA,Unknown,22180,48,NA,NA,NA,1,NA,NA,NA,NA,English,0,344,New York City,Pantheon,8 x 1.2 x 10.5 inches,7/7/2009,8,1.2,10.5,inches,2009,2000-2009,Only Male Author(s),Male,Unknown
15,SC,New edition,Batman: Dark Victory,Superhero,Graphic Novel,0,21,N/A,Jeph,Loeb,1,USA,White,21214,56,NA,NA,NA,1,NA,NA,NA,NA,English,1,400,"New York, USA",DC Comics,6.6 x 0.5 x 10.2 inches,2/18/2014,6.6,0.5,10.2,inches,2014,2010-2017,Only Male Author(s),Male,White
16,SC,NA,Batman: The Dark Knight Returns,Superhero,Graphic Novel,0,22,N/A,Frank,Miller,1,USA,White,20847,45,NA,NA,NA,1,NA,NA,NA,NA,English,4,224,"New York, USA",DC Comics,6.6 x 0.4 x 10.2 inches,12/1/2002,6.6,0.4,10.2,inches,2002,2000-2009,Only Male Author(s),Male,White
18,SC,NA,Batman: The Long Halloween,Superhero,Graphic Novel,0,21,N/A,Jeph,Loeb,1,USA,White,21214,53,NA,NA,NA,1,NA,NA,NA,NA,English,2,384,"New York, USA",DC Comics,6.6 x 0.6 x 10.2 inches,10/11/2011,6.6,0.6,10.2,inches,2011,2010-2017,Only Male Author(s),Male,White
19,HC,1st edition,Batman: Year One,Superhero,Graphic Novel,1,22,N/A,Frank,Miller,1,USA,White,20847,30,NA,NA,NA,1,NA,NA,NA,NA,English,1,96,"New York, USA",DC Comics,10.3 x 6.9 x 0.7 inches,1/1/1988,6.9,0.7,10.3,inches,1988,1980-1989,Only Male Author(s),Male,White
20,HC,1St Edition edition,Beasts of Burden: Animal Rites,Adventure,NA,0,23,184,Evan,Dorkin,1,USA,White,23852,45,Jill,Thompson,0,0,USA,White,24431,43,English,1,168,"Milwaukee, USA",Dark Horse,8 x 0.8 x 11.3 inches,7/6/2010,8,0.8,11.3,inches,2010,2010-2017,At Least 1 Female Author,Male,White
21,SC,1st Printing edition,Beowulf,Fantasy,Non-Fiction,0,24,N/A,Stephen L.,Stern,1,USA,White,0,NA,NA,NA,NA,1,NA,NA,NA,NA,English,1,66,"Stevenage, UK",Markosia Enterprises Ltd,6.7 x 0.2 x 9.6 inches,10/1/2007,6.7,0.2,9.6,inches,2007,2000-2009,Only Male Author(s),Male,White
22,SC,1st edition,"Berlin, Vol. 2: City of Smoke",Historical Non-Fiction,Non-Fiction,0,73,N/A,Jason,Lutes,1,USA,White,24813,40,NA,NA,NA,1,NA,NA,NA,NA,English,1,210,"Montreal, Canada",Drawn and Quarterly,7.5 x 0.7 x 10 inches,9/16/2008,7.5,0.7,10,inches,2008,2000-2009,Only Male Author(s),Male,White
23,SC,1st edition,"Berlin, Vol.1: City of Stones",Historical Non-Fiction,Non-Fiction,0,73,N/A,Jason,Lutes,1,USA,White,24813,32,NA,NA,NA,1,NA,NA,NA,NA,English,1,209,"Montreal, Canada",Drawn and Quarterly,7.4 x 0.8 x 9.3 inches,6/1/2000,7.4,0.8,9.3,inches,2000,2000-2009,Only Male Author(s),Male,White
24,HC,NA,Black Hole,Coming of Age,NA,1,40,N/A,Charles,Burns,1,USA,White,20359,50,NA,NA,NA,1,NA,NA,NA,NA,English,4,352,New York City,Pantheon,6.9 x 1.5 x 9.5 inches,10/18/2005,6.9,1.5,9.5,inches,2005,2000-2009,Only Male Author(s),Male,White
26,HC,Box Pck edition,Building Stories,Literary Fiction,Graphic Novel,0,42,N/A,Chris,Ware,1,USA,White,24834,44,NA,NA,NA,1,NA,NA,NA,NA,English,2,260,New York City,Pantheon,11.7 x 1.9 x 16.6 inches,10/2/2012,11.7,1.9,16.6,inches,2012,2010-2017,Only Male Author(s),Male,White
27,HC,NA,Cages,Fantasy,Non-Fiction,1,47,N/A,Dave,McKean,1,UK,White,23374,38,NA,NA,NA,1,NA,NA,NA,NA,English,1,496,"New York City, USA",NBM Publishing,11.5 x 8.8 x 1.4 inches,4/1/2002,8.8,1.4,11.5,inches,2002,2000-2009,Only Male Author(s),Male,White
28,HC,NA,Cairo,Mystery,Graphic Novel,1,61,0,G. Willow,Wilson,0,USA,White,30194,25,David,Wojnarowicz,1,0,USA,White,19981,53,English,1,160,New York City,Vertigo,7.2 x 0.6 x 9.4 inches,11/7/2007,7.2,0.6,9.4,inches,2007,2000-2009,At Least 1 Female Author,Female,White
29,HC,First Edition edition,Can't We Talk about Something More Pleasant?: A Memoir,Memoir,Graphic Novel,0,121,N/A,Roz,Chast,0,USA,White,20054,59,NA,NA,NA,0,NA,NA,NA,NA,English,1,228,"New York, USA",Bloomsbury USA,7.7 x 0.9 x 9.5 inches,5/6/2014,7.7,0.9,9.5,inches,2014,2010-2017,At Least 1 Female Author,Female,White
30,HC,1 edition,Cancer Vixen: A True Story,Memoir,Graphic Novel,1,97,N/A,Marisa Acocella,Marchetto,0,USA,White,22647,44,NA,NA,NA,0,NA,NA,NA,NA,English,1,224,New York City,Knopf,NA,9/26/2006,7.8,0.8,8.2,inches,2006,2000-2009,At Least 1 Female Author,Female,White
31,SC,NA,Carnet De Voyage,Travel Writing,Graphic Novel,0,43,N/A,Craig,Thompson,1,USA,White,27658,28,NA,NA,NA,1,NA,NA,NA,NA,English,1,224,"Marietta, USA",Top Shelf Productions,0.8 x 5.5 x 7.5 inches,8/3/2004,5.5,0.8,7.5,inches,2004,2000-2009,Only Male Author(s),Male,White
32,HC,1 edition,Castle Waiting Vol. 2: The Definitive Edition,Fairy Tale,Non-Fiction,0,90,N/A,Linda,Medley,0,USA,White,23514,49,NA,NA,NA,0,NA,NA,NA,NA,English,1,464,"Seattle, USA",Fantagraphics,5.9 x 1.6 x 8.3 inches,5/17/2013,5.9,1.6,8.3,inches,2013,2010-2017,At Least 1 Female Author,Female,White
34,SC,Reprint edition,City of Glass: The Graphic Novel,Mystery,Graphic Novel,0,115,N/A,Paul,Auster,1,USA,White,17201,57,NA,NA,NA,1,NA,NA,NA,NA,English,1,144,"New York, USA",Picador,5.5 x 0.3 x 8.2 inches,8/1/2004,5.5,0.3,8.2,inches,2004,2000-2009,Only Male Author(s),Male,White
36,SC,NA,Civil War,Superhero,Graphic Novel,0,100,N/A,Mark,Millar,1,UK,White,25561,37,NA,NA,NA,1,NA,NA,NA,NA,English,2,208,New York City,Marvel,6.8 x 0.4 x 10.2 inches,4/11/2007,6.8,0.4,10.2,inches,2007,2000-2009,Only Male Author(s),Male,White
37,SC,NA,Complete Multiple Warheads TP,Fantasy,Non-Fiction,0,36,N/A,Brandon,Graham,1,USA,White,27760,38,NA,NA,NA,1,NA,NA,NA,NA,English,1,208,"Berkeley, USA",Image Comics,0.5 x 6.5 x 10 inches,1/21/2014,6.5,0.5,10,inches,2014,2010-2017,Only Male Author(s),Male,White
38,SC,NA,Corridor: A Graphic Novel,Literary Fiction,Graphic Novel,0,124,N/A,Sarnath,Banerjee,1,India,Asian,26299,32,NA,NA,NA,1,NA,NA,NA,NA,English,1,112,"New Delhi, India",Penguin Books,8.5 x 6.3 x 0.4 inches,3/1/2004,6.3,0.4,8.5,inches,2004,2000-2009,Only Male Author(s),Male,Asian
40,HC,1st Edition,Daredevil: Born Again,Superhero,Graphic Novel,1,22,N/A,Frank,Miller,1,USA,White,20847,52,NA,NA,NA,1,NA,NA,NA,NA,English,2,248,New York City,Marvel,10.4 x 6.9 x 0.8 inches,1/1/2010,6.9,0.8,10.4,inches,2010,2010-2017,Only Male Author(s),Male,White
41,HC,First Edition,Daredevil: The Man Without Fear,Superhero,Graphic Novel,1,22,N/A,Frank,Miller,1,USA,White,20847,51,NA,NA,NA,1,NA,NA,NA,NA,NA,0,224,"New York, USA",Marvel,NA,12/24/2008,7,0.8,10.5,inches,2008,2000-2009,Only Male Author(s),Male,White
42,SC,1st Edition,Darkroom: A Memoir in Black and White,Memoir,Graphic Novel,0,89,N/A,Lila Quintero,Weaver,0,Argentina,Hispanic Origin,20090,57,NA,NA,NA,0,NA,NA,NA,NA,English,1,250,"Tuscaloosa, USA",University Alabama Press,6.1 x 0.8 x 9.2 inches,3/1/2012,6.1,0.8,9.2,inches,2012,2010-2017,At Least 1 Female Author,Female,Hispanic Origin
43,SC,1st edition,Daytripper,Literary Fiction,Graphic Novel,1,63,179,Gabriel,Ba,1,Brazil,Hispanic Origin,27916,34,Fabio,Moon,1,1,Brazil,Hispanic Origin,27916,34,English,2,248,"New York, USA",DC Comics,6.7 x 0.6 x 10.2 inches,2/8/2011,6.7,0.6,10.2,inches,2011,2010-2017,Only Male Author(s),Male,Hispanic Origin
44,SC,The Deluxe Edition,DC: The New Frontier,Superhero,Graphic Novel,0,46,N/A,Darwyn,Cooke,1,Canada,White,22647,42,NA,NA,NA,1,NA,NA,NA,NA,English,1,511,"New York, USA",DC Comics,NA,12/1/2004,6.7,1.1,10.2,inches,2004,2000-2009,Only Male Author(s),Male,White
45,SC,NA,Deadpool Kills the Marvel Universe,Horror,Graphic Novel,0,44,N/A,Cullen,Bunn,1,USA,White,25934,41,NA,NA,NA,1,NA,NA,NA,NA,English,1,96,"New York, USA",Marvel,6.8 x 0.2 x 10.2 inches,11/14/2012,6.8,0.2,10.2,inches,2012,2010-2017,Only Male Author(s),Male,White
50,HC,First Edition,Elektra Lives Again,Action/Adventure,NA,1,22,N/A,Frank,Miller,1,USA,White,20847,33,NA,NA,NA,1,NA,NA,NA,NA,English,1,80,"New York, USA",Marvel,12 x 9.3 x 5 inches,1/1/1991,9.3,0.5,12,inches,1991,1990-1999,Only Male Author(s),Male,White
52,HC,NA,Exit Wounds,Coming of Age,NA,1,122,0,Rutu,Modan,0,Israel,White,24108,41,David,Wojnarowicz,1,0,USA,White,19981,52,English,2,168,"Montreal, Canada",Drawn and Quarterly,9.3 x 7.1 x 0.9 inches,6/12/2007,7.1,0.9,9.3,inches,2007,2000-2009,At Least 1 Female Author,Female,White
53,HC,1st Edition,Fables: 1001 Nights of Snowfall,Fantasy,Non-Fiction,1,35,N/A,Bill,Willingham,1,USA,White,20455,50,NA,NA,NA,1,NA,NA,NA,NA,English,1,144,"New York, USA",Vertigo,6.9 x 0.6 x 10.4 inches,10/18/2006,6.9,0.6,10.4,inches,2006,2000-2009,Only Male Author(s),Male,White
54,SC,Gph edition,Fax from Sarajevo,Memoir,Graphic Novel,0,79,N/A,Joe,Kubert,1,Poland,White,9758,70,NA,NA,NA,1,NA,NA,NA,NA,English,1,180,"Milwaukee, USA",Dark Horse,11.1 x 8.6 x 0.9 inches,10/15/1996,8.6,0.9,11.1,inches,1996,1990-1999,Only Male Author(s),Male,White
55,SC,NA,The Finder Library. Volume 1,Science Fiction,Graphic Novel,0,39,N/A,Carla Speed,McNeill,0,USA,White,0,NA,NA,NA,NA,0,NA,NA,NA,NA,English,1,590,"Milwaukee, USA",Dark Horse,6 x 1.7 x 9 inches,4/5/2011,6,1.7,9,inches,2011,2010-2017,At Least 1 Female Author,Female,White
57,SC,New edition,From Hell,Crime,Graphic Novel,1,3,N/A,Alan,Moore,1,UK,White,19681,50,NA,NA,NA,1,NA,NA,NA,NA,English,3,572,"Marietta, Georgia, USA",Top Shelf Productions,1.5 x 7.8 x 10.2 inches,6/8/2004,7.8,1.5,10.2,inches,2004,2000-2009,Only Male Author(s),Male,White
58,HC,1St Edition,Fun Home,Memoir,Graphic Novel,1,30,N/A,Alison,Bechdel,0,USA,White,22169,45,NA,NA,NA,0,NA,NA,NA,NA,English,5,240,"Boston, USA",Houghton Mifflin Harcourt,8.6.2006,6/8/2006,6,0.7,9,inches,2006,2000-2009,At Least 1 Female Author,Female,White
59,SC,Original edition,Gaylord Phoenix,Fantasy,Non-Fiction,0,55,N/A,Edie,Fake,1,USA,White,29221,30,NA,NA,NA,1,NA,NA,NA,NA,English,1,256,"New York, USA",Secret Acres,0.8 x 5.5 x 8.5 inches,12/1/2010,5.5,0.8,8.5,inches,2010,2010-2017,Only Male Author(s),Male,White
60,SC,New edition,Gemma Bovery,Literary Fiction,Graphic Novel,1,117,N/A,Posy,Simmonds,0,UK,White,16658,55,NA,NA,NA,0,NA,NA,NA,NA,English,3,104,New York City,Pantheon,6.6 x 0.3 x 11.3 inches,1/1/2001,6.6,0.3,11.3,inches,2001,2000-2009,At Least 1 Female Author,Female,White
61,SC,NA,Ghost World,Coming of Age,NA,1,45,N/A,Daniel,Clowes,1,USA,White,22385,39,NA,NA,NA,1,NA,NA,NA,NA,English,2,80,"Seattle, USA",Fantagraphics,6.7 x 0.3 x 10.2 inches,4/1/2001,6.7,0.3,10.2,inches,2001,2000-2009,Only Male Author(s),Male,White
62,SC,NA,"Hawkeye, Vol. 1: My Life as a Weapon",Superhero,Graphic Novel,0,101,N/A,Matt,Fraction,1,USA,White,27729,37,NA,NA,NA,1,NA,NA,NA,NA,English,1,136,"New York, USA",Marvel,6.5 x 0.2 x 10.2 inches,3/19/2013,6.5,0.2,10.2,inches,2013,2010-2017,Only Male Author(s),Male,White
63,HC,Library edition,"Hellboy Library Edition, Volume 1: Seed of Destruction and Wake the Devil",Horror,Graphic Novel,0,14,N/A,Mike,Mignola,1,USA,White,22175,47,NA,NA,NA,1,NA,NA,NA,NA,English,2,288,"Milwaukee, USA",Dark Horse,9.3 x 1.2 x 12.1 inches,5/20/2008,9.3,1.2,12.1,inches,2008,2000-2009,Only Male Author(s),Male,White
64,HC,NA,"Hellboy Library Edition, Volume 2: The Chained Coffin, The Right Hand of Doom, and Others",Superhero,Graphic Novel,0,14,N/A,Mike,Mignola,1,USA,White,22175,48,NA,NA,NA,1,NA,NA,NA,NA,English,1,281,"Milwaukee, USA",Dark Horse,9.2 x 1.3 x 12.1 inches,10/21/2008,9.2,1.3,12.1,inches,2008,2000-2009,Only Male Author(s),Male,White
65,SC,Reissue edition,Hicksville,Mystery,Graphic Novel,0,53,N/A,Dylan,Horrocks,1,New Zealand,White,24108,48,NA,NA,NA,1,NA,NA,NA,NA,English,1,238,"Montreal, Canada",Drawn and Quarterly,6.4 x 0.8 x 9.6 inches,7/1/2014,6.4,0.8,9.6,inches,2014,2010-2017,Only Male Author(s),Male,White
66,HC,NA,How to Understand Israel in 60 Days or Less,Memoir,Graphic Novel,1,123,N/A,Sarah,Glidden,0,USA,White,29388,30,NA,NA,NA,0,NA,NA,NA,NA,English,1,208,"New York, USA",Vertigo,NA,11/9/2010,6,0.4,9,inches,2010,2010-2017,At Least 1 Female Author,Female,White
67,HC,NA,I Never Liked You,Memoir,Graphic Novel,1,41,N/A,Chester,Brown,1,Canada,White,22052,33,NA,NA,NA,1,NA,NA,NA,NA,English,1,187,"Montreal, Canada",Drawn and Quarterly,01.01.94,1/1/1994,0,0,0,NA,1994,1990-1999,Only Male Author(s),Male,White
68,SC,NA,Icon. Vol.1: A Hero's Welcome,Superhero,Graphic Novel,0,52,N/A,Dwayne,McDuffle,1,Unknown,African American,22697,47,NA,NA,NA,1,NA,NA,NA,NA,English,1,191,"New York, USA",DC Comics,6.6 x 0.4 x 10.2 inches,10/6/2009,6.6,0.4,10.2,inches,2009,2000-2009,Only Male Author(s),Male,African American
69,HC,NA,The Infinity Gauntlet,Science Fiction,Graphic Novel,1,78,N/A,Jim,Starlin,1,USA,White,18180,60,NA,NA,NA,1,NA,NA,NA,NA,English,2,256,New York City,Marvel,7 x 0.8 x 10.5 inches,7/28/2010,7,0.8,10.5,inches,2010,2010-2017,Only Male Author(s),Male,White
70,HC,NA,It's A Bird,Memoir,Graphic Novel,1,129,N/A,Steven T.,Seagle,1,USA,White,0,NA,NA,NA,NA,1,NA,NA,NA,NA,English,1,134,"New York, USA",Vertigo,7 x 0.5 x 10.5 inches,5/1/2004,7,0.5,10.5,inches,2004,2000-2009,Only Male Author(s),Male,White
71,HC,2nd edition,"It's a Good Life, If You Don't Weaken",Memoir,Graphic Novel,1,125,N/A,Gregory,Gallant,1,Unknown,White,22905,37,NA,NA,NA,1,NA,NA,NA,NA,English,3,176,"Montreal, Canada",Drawn and Quarterly,9 x 6.7 x 0.8 inches,8/1/2000,6.7,0.8,9,inches,2000,2000-2009,Only Male Author(s),Male,White
73,HC,First Edition edition,Jimmy Corrigan: The Smartest Kid on Earth,Literary Fiction,Graphic Novel,1,42,N/A,Chris,Ware,1,USA,White,24834,32,NA,NA,NA,1,NA,NA,NA,NA,English,4,380,New York City,Pantheon,6.8 x 1.6 x 8.4 inches,9/12/2000,8.4,1.6,6.8,inches,2000,2000-2009,Only Male Author(s),Male,White
76,HC,NA,Need More Love: A Graphic Memoir,Memoir,Graphic Novel,0,264,N/A,Aline,Kominsky-Crumb,0,USA,White,17746,58,NA,NA,NA,0,NA,NA,NA,NA,Spanish,1,285,"London, UK",M Q Publications,6.7 x 0.6 x 9.4 inches,2/1/2007,7.1,1.7,9.7,inches,2007,2000-2009,At Least 1 Female Author,Female,White
77,SC,Original Edition,Logicomix: An Epic Search for Truth,Educational,Non-Fiction,0,31,32,Apostolos,Doxiadis,1,Australia,White,19516,56,Christos,Papadimitriou,1,1,Greece,White,18126,60,English,1,352,"New York, USA",Bloomsbury USA,5.1 x 0.9 x 9.3 inches,9/29/2009,5.1,0.9,9.3,inches,2009,2000-2009,Only Male Author(s),Male,White
79,HC,NA,Lost Girls,Adult,NA,0,3,N/A,Alan,Moore,1,UK,White,19681,55,NA,NA,NA,1,NA,NA,NA,NA,English,1,320,"Marietta, Georgia, USA",Top Shelf Productions,9 x 2 x 12 inches,7/28/2009,9,2,12,inches,2009,2000-2009,Only Male Author(s),Male,White
81,SC,1st edition,Mail Order Bride,Literary Fiction,Graphic Novel,0,99,N/A,Mark,Kalesniko,1,Canada,White,0,NA,NA,NA,NA,1,NA,NA,NA,NA,English,1,261,"Seattle, USA",Fantagraphics,7.6 x 0.9 x 11 inches,6/17/2003,7.6,0.9,11,inches,2003,2000-2009,Only Male Author(s),Male,White
82,SC,NA,"Marbles: Mania, Depression, Michelangelo, and Me: A Graphic Memoir",Memoir,Graphic Novel,0,56,N/A,Ellen,Forney,0,USA,White,24905,44,NA,NA,NA,0,NA,NA,NA,NA,English,1,237,"New York, USA",Penguin Group,5.9 x 0.8 x 9 inches,11/6/2012,5.9,0.8,9,inches,2012,2010-2017,At Least 1 Female Author,Female,White
83,SC,First Edition,March: Book One,Biography,NA,0,81,165,John,Lewis,1,USA,African American,14662,73,Andrew,Aydin,1,1,USA,White,30553,29,English,2,121,"Marietta, Georgia, USA",Top Shelf Productions,0.5 x 6.5 x 9.2 inches,8/13/2013,6.5,0.5,9.2,inches,2013,2010-2017,Only Male Author(s),Male,African American
84,SC,NA,March: Book Two,Biography,NA,0,81,165,John,Lewis,1,USA,African American,14662,74,Andrew,Aydin,1,1,USA,White,30553,31,English,1,179,"Marietta, Georgia, USA",Top Shelf Productions,0.5 x 6.5 x 9.5 inches,1/20/2015,6.5,0.5,9.5,inches,2015,2010-2017,Only Male Author(s),Male,African American
85,SC,NA,Miracleman: The Golden Age,Superhero,Graphic Novel,0,108,N/A,Neil,Gaiman,1,UK,White,22230,31,NA,NA,NA,1,NA,NA,NA,NA,English,1,160,"London, UK",Eclipse Books,10.1 x 6.5 x 0.3 inches,1/1/1992,6.5,0.3,10.1,inches,1992,1990-1999,Only Male Author(s),Male,White
86,HC,NA,Mom's Cancer,Biography,NA,0,37,N/A,Brian,Fies,1,Unknown,Unknown,0,NA,NA,NA,NA,1,NA,NA,NA,NA,English,1,112,"New York, USA",Harry N. Abrams,7.6 x 0.6 x 5.5 inches,1/1/2009,7.6,0.6,5.5,inches,2009,2000-2009,Only Male Author(s),Male,Unknown
87,SC,2nd edition,"Mother, Come Home",Literary Fiction,Graphic Novel,1,116,N/A,Paul,Hornschemeier,1,USA,White,28425,26,NA,NA,NA,1,NA,NA,NA,NA,English,1,128,"Seattle, USA",Fantagraphics,9.2 x 6.9 x 0.4 inches,2/3/2004,9.2,0.4,6.9,inches,2004,2000-2009,Only Male Author(s),Male,White
88,SC,1 edition,Narcissa,Coming of Age,NA,0,87,N/A,Lance,Tooks,1,USA,African American,0,NA,NA,NA,NA,1,NA,NA,NA,NA,English,1,208,"New York, USA",Doubleday,8 x 0.6 x 10.9 inches,9/17/2002,10.9,0.6,8,inches,2002,2000-2009,Only Male Author(s),Male,African American
89,SC,NA,Nat Turner,Biography,NA,1,86,N/A,Kyle,Baker,1,USA,African American,23743,43,NA,NA,NA,1,NA,NA,NA,NA,English,1,200,"New York, USA",Harry N. Abrams,6 x 0.9 x 9 inches,6/1/2008,6,0.9,9,inches,2008,2000-2009,Only Male Author(s),Male,African American
