"BookID","FormatID","Edition","Book Name","Genre","Genre Group","More than One Edition (1=Y)","Author1ID","Author2ID","Author 1 - First Name","Author 1 - Last Name","Author 1 - Gender (1=M)","Author 1 - Country of Origin","Author 1 - Ethnicity","Author 1 - DOB","Author 1 - Age","Author 2 - First Name","Author 2 - Last Name","Author 2 - Gender (1=M)","Any Female Authors (0 = Y)","Author 2 - Country of Origin","Author 2 - Ethnicity","Author 2 - DOB","Author 2 - Age","LanguageID","Mentions","Pages","PlaceOfPublicationID","PublisherID","SIze","Date","Width","Depth","Height","Unit"
91,"HC",NA,"One Hundred Demons","Memoir","Graphic Memoir",1,95,"N/A","Lynda","Barry",0,"USA","Other Race","1956-01-02",46,NA,NA,NA,0,NA,NA,NA,NA,"English",2,224,"Seattle, USA","Sasquatch Books","6.3 x 9.7 x 0.9 inches","2002-08-13",9.7,0.9,6.3,"inches"
94,"SC",NA,"Our Cancer Year","Memoir","Graphic Memoir",0,11,"71","Harvey","Pekar",1,"USA","White","1939-10-08",55,"Joyce","Brabner",0,0,"USA","White","1952-03-01",42,"English",2,252,"New York, USA","Four Walls Eight Windows","10 x 8 x 0.4 inches","1994-10-13",8,0.4,10,"inches"
95,"SC","1st edition","Palestine","Graphic Journalism","Non-Fiction",0,80,"N/A","Joe","Sacco",1,"Malta","White","1960-10-02",41,NA,NA,NA,1,NA,NA,NA,NA,"English",2,285,"Seattle, USA","Fantagraphics","7.2 x 0.9 x 10.8 inches","2001-12-17",7.2,0.9,10.8,"inches"
96,"HC","1st edition","Palomar: The Heartbreak Soup Stories, A Love and Rockets Book","Literary Fiction","Graphic Novel",0,69,"N/A","Gilbert","Hernandez",1,"USA","Other Race","1957-02-01",46,NA,NA,NA,1,NA,NA,NA,NA,"English",1,512,"Seattle, USA","Fantagraphics","0.9 x 0.2 x 1.1 inches","2003-11-17",7.5,0.7,9,"inches"
97,"SC","First Edition","Paul Has a Summer Job","Coming of Age","Graphic Novel",0,104,"N/A","Michel","Rabagliati",1,"Canada","White","1961-01-01",41,NA,NA,NA,1,NA,NA,NA,NA,"English",1,145,"Montreal, Canada","Drawn and Quarterly","7.6 x 0.6 x 9.9 inches","2002-08-01",7.6,0.6,9.9,"inches"
98,"SC","Reprint edition","Paul Joins the Scouts","Coming of Age","Graphic Novel",0,104,"N/A","Michel","Rabagliati",1,"Canada","White","1961-01-01",52,NA,NA,NA,1,NA,NA,NA,NA,"English",1,143,"Montreal, Canada","Conundrum Press","0.5 x 7.2 x 9.5 inches","2013-05-23",7.2,0.5,9.5,"inches"
99,"SC",NA,"Pedro and Me: Friendship, Loss, and What I Learned","Memoir","Graphic Memoir",0,82,"N/A","Judd","Winick",1,"USA","White","1970-02-12",39,NA,NA,NA,1,NA,NA,NA,NA,"English",1,180,"New York, USA","Henry Holt and Company, LLC","6.4 x 0.5 x 9.1 inches","2009-03-31",6.4,0.5,9.1,"inches"
102,"HC","1St Edition","RASL","Science Fiction","Graphic Fantasy",0,76,"N/A","Jeff","Smith",1,"USA","White","1960-02-27",53,NA,NA,NA,1,NA,NA,NA,NA,"English",1,468,"Columbus, USA","Cartoon Books","1.5 x 8 x 10.2 inches","2013-09-17",8,1.5,10.2,"inches"
103,"HC",NA,"Red: A Haida Manga","Action/Adventure","Graphic Novel",1,103,"N/A","Michael Nicoll","Yahgulanaas",1,"Canada","Native American","1954-01-01",56,NA,NA,NA,1,NA,NA,NA,NA,"English",1,120,"Vancouver, Canada","Douglas and McIntyre","9 x 8.4 x 0.6 inches","2010-02-23",9,0.6,8.4,"inches"
105,"HC",NA,"Richard Stark's Parker: Slayground","Crime","Graphic Novel",0,308,"308","Donald Edwin","Westlake (Richard Stark)",1,"USA","White","1933-07-12",80,"Donald Edwin","Westlake (Richard Stark)",1,1,"USA","White","1933-07-12",80,"English",1,96,"San Diego, USA","IDW Publishing","13.7 x 9.4 x 1.7 inches","2013-12-26",6.8,0.8,9.5,"inches"
106,"SC",NA,"Safe Area Gorau017ede: The War in Eastern Bosnia, 1992-1995","Graphic Journalism","Non-Fiction",1,80,"N/A","Joe","Sacco",1,"Malta","White","1960-10-02",41,NA,NA,NA,1,NA,NA,NA,NA,"English",2,227,"Seattle, USA","Fantagraphics","7.6 x 0.6 x 10 inches","2002-01-17",7.6,0.6,10,"inches"
107,"HC",NA,"Saga of the Swamp Thing, Book 1","Superhero","Graphic Novel",1,3,"N/A","Alan","Moore",1,"UK","White","1953-11-18",55,NA,NA,NA,1,NA,NA,NA,NA,"English",1,208,"New York, USA","Vertigo","7.1 x 0.7 x 10.5 inches","2009-02-17",7.1,0.7,10.5,"inches"
108,"HC",NA,"Same Difference","Literary Fiction","Graphic Novel",0,50,"N/A","Derek Kirk","Kim",1,"South Korea","Asian","1974-01-01",37,NA,NA,NA,1,NA,NA,NA,NA,"English",1,80,"New York, USA","First Second","6.4 x 0.6 x 8.7 inches","2011-12-06",6.4,0.6,8.7,"inches"
109,"SC",NA,"Sex Criminals, Vol. 1: One Weird Trick","Comedy","Humor",0,101,"161","Matt","Fraction",1,"USA","White","1975-12-01",38,"Chip","Zdarsky",1,1,"Canada","White","1975-12-21",38,"English",1,128,"Berkeley, USA","Image Comics","10.2 x 6.6 x 0.4 inches","2014-04-29",6.6,0.4,10.2,"inches"
110,"SC",NA,"Sex Criminals, Vol. 2: Two Worlds, One Cop","Comedy","Humor",0,101,"161","Matt","Fraction",1,"USA","White","1975-12-01",39,"Chip","Zdarsky",1,1,"Canada","White","1975-12-21",39,"English",1,128,"Berkeley, USA","Image Comics","10.2 x 6.7 x 0.3 inches","2015-03-10",6.7,0.3,10.2,"inches"
111,"HC","1st edition","Shortcomings","Literary Fiction","Graphic Novel",1,25,"N/A","Adrian","Tomine",1,"USA","Asian","1974-05-13",33,NA,NA,NA,1,NA,NA,NA,NA,"English",3,104,"Montreal, Canada","Drawn and Quarterly","7.1 x 0.8 x 9.1 inches","2007-10-02",7.1,0.8,9.1,"inches"
112,"SC","Gph edition","Signal to Noise","Literary Fiction","Graphic Novel",1,108,"N/A","Neil","Gaiman",1,"UK","White","1960-11-10",31,NA,NA,NA,1,NA,NA,NA,NA,"English",2,117,"London, UK","Bloomsbury","0.2 x 8.8 x 11.5 inches","1992-10-13",8.8,0.2,11.5,"inches"
113,"SC","2nd Printing Edition","Sin City. The Hard Goodbye","Crime","Graphic Novel",1,22,"N/A","Frank","Miller",1,"USA","White","1957-01-27",34,NA,NA,NA,1,NA,NA,NA,NA,"English",1,200,"Milwaukee, USA","Dark Horse","10.1 x 6.6 x 0.5 inches","1992-01-01",6.6,0.5,10.1,"inches"
114,"HC","First Edition","Skim","Coming of Age","Graphic Novel",1,96,"160","Mariko","Tamaki",0,"Canada","Other Race","0",NA,"Jillian","Tamaki",0,0,"Canada","Other Race","0",NA,"English",1,142,"Toronto, Canada","Groundwood Books","0.8 x 7 x 10.2 inches","2008-02-28",7,0.8,10.2,"inches"
115,"SC",NA,"Stuck Rubber Baby","Historical Fiction","Graphic Novel",1,72,"N/A","Howard","Cruse",1,"USA","White","1944-05-02",55,NA,NA,NA,1,NA,NA,NA,NA,"English",2,210,"New York, USA","DC Comics","7 x 0.5 x 8.8 inches","2000-03-01",7,0.5,8.8,"inches"
117,"HC","Deluxe edition","Superman: Red Son","Superhero","Graphic Novel",1,100,"N/A","Mark","Millar",1,"UK","White","1969-12-24",39,NA,NA,NA,1,NA,NA,NA,NA,"English",1,168,"New York, USA","DC Comics","7.4 x 0.5 x 11 inches","2009-11-17",7.4,0.5,11,"inches"
118,"HC","First Edition first Printing edition","Swallow Me Whole","Literary Fiction","Graphic Novel",0,107,"N/A","Nate","Powell",1,"USA","White","1978-01-01",30,NA,NA,NA,1,NA,NA,NA,NA,"English",1,216,"Marietta, Georgia, USA","Top Shelf Productions","6.5 x 0.5 x 9.5 inches","2008-12-02",6.5,0.5,9.5,"inches"
119,"HC","First Edition","The Arrival","Literary Fiction","Graphic Novel",1,126,"N/A","Shaun","Tan",1,"Australia","White","1974-01-01",33,NA,NA,NA,1,NA,NA,NA,NA,"English",2,128,"Melbourne","Lothian Books","0.5 x 9 x 12 inches","2007-10-01",9,0.5,12,"inches"
120,"SC",NA,"The Barn Owl's Wondrous Capers","Historical Fiction","Graphic Novel",0,124,"N/A","Sarnath","Banerjee",1,"India","Asian","1972-01-01",35,NA,NA,NA,1,NA,NA,NA,NA,"English",1,263,"New Delhi, India","Penguin Books","9.2 x 6.6 x 0.8 inches","2007-01-09",6.6,0.8,9.2,"inches"
121,"HC","1 edition","The Book of Genesis","Educational","Non-Fiction",0,120,"N/A","Robert","Crumb",1,"USA","White","1943-08-30",66,NA,NA,NA,1,NA,NA,NA,NA,"English",2,224,"New York, USA","W. W. Norton and Company","8.9 x 1 x 11.2 inches","2009-10-19",8.9,1,11.2,"inches"
122,"HC","Deluxe edition","The Books of Magic","Fantasy","Graphic Fantasy",1,108,"140","Neil","Gaiman",1,"UK","White","1960-11-10",52,"Peter","Gross",1,1,"USA","White","1958-01-01",55,"English",1,208,"New York, USA","Vertigo","7.4 x 0.6 x 11.2 inches","2013-01-29",7.4,0.6,11.2,"inches"
123,"SC","Original edition","The Borden Tragedy: A Memoir of the Infamous Double Murder at Fall River, Mass., 1892 (A Treasury of Victorian Murder)","Crime","Graphic Novel",0,119,"N/A","Rick","Geary",1,"USA","White","1946-02-25",51,NA,NA,NA,1,NA,NA,NA,NA,"English",1,67,"New York, USA","NBM Publishing","6.5 x 0.3 x 9.5 inches","1997-09-01",6.5,0.3,9.5,"inches"
124,"HC","1 edition","The Boulevard of Broken Dreams","Historical Fiction","Graphic Novel",0,85,"N/A","Kim","Deitch",1,"USA","White","1944-01-01",58,NA,NA,NA,1,NA,NA,NA,NA,"English",1,160,"New York City","Pantheon","6.6 x 0.8 x 8.7 inches","2002-09-24",6.6,0.8,8.7,"inches"
126,"SC","1St Edition","Collected Essex County","Literary Fiction","Graphic Novel",0,75,"N/A","Jeff","Lemire",1,"Canada","White","1976-03-21",33,NA,NA,NA,1,NA,NA,NA,NA,"English",1,510,"Marietta, Georgia, USA","Top Shelf Productions","6.5 x 1.8 x 9 inches","2009-09-01",6.5,1.8,9,"inches"
127,"HC",NA,"The Complete Maus","Memoir","Graphic Memoir",0,33,"N/A","Art","Spiegelman",1,"Sweden","White","1948-02-15",48,NA,NA,NA,1,NA,NA,NA,NA,"English",0,295,"New York City","Pantheon","6.5 x 1.2 x 9.4 inches","1996-11-19",6.5,1.2,9.4,"inches"
129,"SC",NA,"The Cowboy Wally Show","Satire","Humor",0,86,"N/A","Kyle","Baker",1,"USA","African American","1965-01-01",38,NA,NA,NA,1,NA,NA,NA,NA,"English",1,128,"New York, USA","Marlowe and Company","10.8 x 8.4 x 0.4 inches","2003-12-01",8.4,0.4,10.8,"inches"
131,"SC","English Language edition","The Greatest of Marlys","Coming of Age","Graphic Novel",0,95,"N/A","Lynda","Barry",0,"USA","Other Race","1956-01-02",44,NA,NA,NA,0,NA,NA,NA,NA,"English",1,248,"Seattle, USA","Sasquatch Books","8.5 x 0.4 x 10 inches","2000-09-26",8.5,0.4,10,"inches"
132,"SC",NA,"The Hedge Knight: The Graphic Novel (A Game of Thrones)","Fantasy","Graphic Fantasy",NA,67,"68","George R. R.","Martin",1,"USA","White","1948-09-20",65,"Ben","Avery",1,1,"USA","White","0",NA,"English",2,184,"Seattle, USA","Jet City Comics","7 x 0.4 x 10 inches","2013-11-05",7,0.4,10,"inches"
134,"HC","1 edition","The Jew of New York","Historical Fiction","Graphic Novel",1,34,"N/A","Ben","Katchor",1,"USA","White","1951-01-01",47,NA,NA,NA,1,NA,NA,NA,NA,"English",1,97,"New York City","Pantheon","0.5 x 8.5 x 9.2 inches","1998-12-07",8.5,0.5,9.2,"inches"
135,"SC","Reprint edition","The Metamorphosis","Literary Fiction","Graphic Novel",0,207,"N/A","Peter","Kuper",1,"USA","White","1958-09-22",45,NA,NA,NA,1,NA,NA,NA,NA,"English",1,79,"New York, USA","Crown","6.2 x 0.2 x 9.1 inches","2004-07-20",6.2,0.2,9.1,"inches"
136,"HC",NA,"The Name of the Game","Memoir","Graphic Memoir",1,1,"N/A","Will","Eisner",1,"USA","White","1917-03-06",84,NA,NA,NA,1,NA,NA,NA,NA,"English",1,168,"New York City","W. W. Norton and Company","7.8 x 0.8 x 10.2 inches","2002-01-01",7.8,0.8,10.2,"inches"
137,"HC","First Edition ~1st Printing edition","The Originals","Science Fiction","Graphic Fantasy",1,26,"N/A","Dave","Gibbons",1,"UK","White","1949-04-14",55,NA,NA,NA,1,NA,NA,NA,NA,"English",1,160,"New York, USA","Vertigo","7.2 x 0.5 x 9.2 inches","2004-11-03",7.2,0.5,9.2,"inches"
139,"HC",NA,"The Property","Literary Fiction","Graphic Novel",0,122,"N/A","Rutu","Modan",0,"Israel","White","1966-01-01",47,NA,NA,NA,1,NA,NA,NA,NA,"English",1,222,"Montreal, Canada","Drawn and Quarterly","6.7 x 1.1 x 9.2 inches","2013-05-14",6.7,1.1,9.2,"inches"
140,"HC",NA,"The Puma Blues","Science Fiction","Graphic Fantasy",0,128,"N/A","Stephen","Murphy",1,"USA","Unknown","1980-11-03",34,NA,NA,NA,1,NA,NA,NA,NA,"English",1,526,"New York, USA","Dover Publications","16.9.2015","2015-09-16",7,2,10,"inches"
141,"HC",NA,"The Rocketeer","Superhero","Graphic Novel",1,48,"N/A","Dave","Stevens",1,"USA","White","1955-07-29",34,NA,NA,NA,1,NA,NA,NA,NA,"English",1,140,"San Diego, USA","IDW Publishing","11.2 x 8.5 x 0.4 inches","1990-03-01",8.5,0.4,11.2,"inches"
142,"SC","Reprint edition","The Sandman. Vol. 1: Preludes & Nocturnes","Fantasy","Graphic Fantasy",0,108,"N/A","Neil","Gaiman",1,"UK","White","1960-11-10",49,NA,NA,NA,1,NA,NA,NA,NA,"English",1,240,"New York, USA","DC Comics","6.7 x 0.4 x 10.1 inches","2010-10-19",6.7,0.4,10.1,"inches"
143,"SC","Reprint edition","The Sandman. Vol. 2: The Doll's House","Fantasy","Graphic Fantasy",0,108,"N/A","Neil","Gaiman",1,"UK","White","1960-11-10",49,NA,NA,NA,1,NA,NA,NA,NA,"English",1,232,"New York, USA","DC Comics","6.6 x 0.3 x 10.1 inches","2010-10-19",6.6,0.3,10.1,"inches"
144,"SC",NA,"The Sworn Sword: The Graphic Novel (A Game of Thrones)","Fantasy","Graphic Fantasy",0,67,"68","George R. R.","Martin",1,"USA","White","1948-09-20",65,"Ben","Avery",1,1,"USA","White","0",NA,"English",1,176,"Seattle, USA","Jet City Comics","6.5 x 0.8 x 10 inches","2014-01-21",6.5,0.8,10,"inches"
145,"SC",NA,"The Tale of One Bad Rat","Literary Fiction","Graphic Novel",1,38,"N/A","Bryan","Talbot",1,"UK","White","1952-02-24",43,NA,NA,NA,1,NA,NA,NA,NA,NA,0,117,"Milwaukee, USA","Dark Horse",NA,"1995-10-17",10.2,0.3,6.7,"inches"
147,"HC","1st Edition","The Thrilling Adventures of Lovelace and Babbage: The (Mostly) True Story of the First Computer","Historical Fiction","Graphic Novel",0,130,"N/A","Sydney","Padua",0,"Unknown","Unknown","0",NA,NA,NA,NA,0,NA,NA,NA,NA,"English",1,315,"New York City","Pantheon","7.3 x 1.1 x 10.3 inches","2015-04-21",7.3,1.1,10.3,"inches"
148,"SC",NA,"The Tragical Comedy or Comical Tragedy of Mr. Punch","Fantasy","Graphic Fantasy",0,108,"N/A","Neil","Gaiman",1,"UK","White","1960-11-10",34,NA,NA,NA,1,NA,NA,NA,NA,"English",1,96,"New York, USA","DC Comics","8.6 x 0.2 x 11.6 inches","1995-09-01",8.6,0.2,11.6,"inches"
149,"SC",NA,"The Wicked + The Divine, Vol. 1: The Faust Act","Superhero","Graphic Novel",0,84,"N/A","Kieron","Gillen",1,"UK","White","1975-01-01",39,NA,NA,NA,1,NA,NA,NA,NA,"English",1,144,"Berkeley, USA","Image Comics","10.2 x 6.6 x 0.3 inches","2014-11-25",6.6,0.3,10.2,"inches"
150,"HC","First Edition","To the Heart of the Storm","Historical Fiction","Graphic Novel",1,1,"N/A","Will","Eisner",1,"USA","White","1917-03-06",73,NA,NA,NA,1,NA,NA,NA,NA,"English",2,208,"New York City","W. W. Norton and Company","10.1 x 7.6 x 0.6 inches","1991-01-01",7.6,0.6,10.1,"inches"
151,"SC",NA,"Top 10: The Forty-Niners","Superhero","Graphic Novel",0,3,"N/A","Alan","Moore",1,"UK","White","1953-11-18",52,NA,NA,NA,1,NA,NA,NA,NA,"English",1,112,"La Jolla, USA","WildStorm","6.6 x 0.2 x 10.2 inches","2006-03-22",6.6,0.2,10.2,"inches"
152,"SC","First Printing edition","Troubled Souls","Coming of Age","Graphic Novel",0,64,"0","Garth","Ennis",1,"UK","White","1970-01-16",20,"David","Wojnarowicz",1,1,"USA","White","1954-09-14",35,"English",1,96,"London, UK","Fleetway Publications","10.2 x 6.6 x 0.4 inches","1990-02-01",6.6,0.4,10.2,"inches"
153,"HC","First Edition","Unterzakhn","Historical Fiction","Graphic Novel",0,88,"N/A","Leela","Corman",0,"Unknown","Unknown","0",NA,NA,NA,NA,0,NA,NA,NA,NA,"English",1,204,"New York, USA","Schocken Books and Random House","7.6 x 0.8 x 9.4 inches","2012-04-03",7.6,0.8,9.4,"inches"
154,"SC",NA,"Unwritten Vol. 1: Tommy Taylor and the Bogus Identity","Mystery","Graphic Fantasy",0,105,"N/A","Mike","Carey",1,"UK","White","1959-01-01",51,NA,NA,NA,1,NA,NA,NA,NA,"English",0,144,"New York, USA","DC Comics","6.6 x 0.3 x 10.2 inches","2010-01-12",6.6,0.3,10.2,"inches"
155,"SC","New edition","V for Vendetta","Science Fiction","Graphic Fantasy",0,3,"N/A","Alan","Moore",1,"UK","White","1953-11-18",54,NA,NA,NA,1,NA,NA,NA,NA,"English",3,296,"New York, USA","DC Comics","6.6 x 0.6 x 10.2 inches","2008-10-24",6.6,0.6,10.2,"inches"
156,"HC","Deluxe edition","Watchmen","Superhero","Graphic Novel",1,3,"N/A","Alan","Moore",1,"UK","White","1953-11-18",59,NA,NA,NA,1,NA,NA,NA,NA,"English",5,448,"New York City","DC Comics","7.4 x 1.3 x 11.2 inches","2013-06-04",7.4,1.3,11.2,"inches"
158,"SC",NA,"Blankets","Romance","Graphic Novel",1,43,"N/A","Craig","Thompson",1,"USA","White","1975-09-21",27,NA,NA,NA,1,NA,NA,NA,NA,"English",3,592,"Marietta, USA","Top Shelf Productions","6.5 x 1.5 x 9.8 inches","2003-08-05",6.5,1.5,9.8,"inches"
159,"SC","1st edition","Justice League: A New Beginning","Superhero","Graphic Novel",0,134,"170","Keith Ian","Giffen",1,"USA","White","1952-11-30",38,"John Marc","DeMatteis",1,1,"USA","White","1953-12-15",37,"English",0,181,"New York, USA","DC Comics",NA,"1991-09-01",6.8,0.4,10.2,"inches"
161,"SC","6th printing edition","Jaka's Story","Fantasy","Graphic Fantasy",0,135,"N/A","David Victor","Sim",1,"Canada","White","1952-11-30",38,NA,NA,NA,1,NA,NA,NA,NA,"English",0,486,"Kitchener, Canada","Aardvark-Vanaheim",NA,"1991-09-01",7.5,1.2,10,"inches"
162,"HC",NA,"Jar of Fools","Literary Fiction","Graphic Novel",1,73,"N/A","Jason","Lutes",1,"USA","White","1967-12-07",29,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0,"Montreal, Canada","Black Eye Books",NA,"1997-01-01",0,0,0,NA
163,"SC",NA,"Why I Hate Saturn","Literary Fiction","Graphic Novel",0,86,"N/A","Kyle","Baker",1,"USA","African American","1965-01-01",39,NA,NA,NA,1,NA,NA,NA,NA,"English",0,199,"New York, USA","Vertigo",NA,"2004-08-31",8.2,0.4,10.8,"inches"
164,"HC","Limited edition","A Life Force","Historical Fiction","Graphic Novel",1,1,"N/A","Will","Eisner",1,"USA","White","1917-03-06",71,NA,NA,NA,1,NA,NA,NA,NA,"English",0,139,"Princeton, USA","Kitchen Sink Press",NA,"1988-05-01",7.2,0.7,10.3,"inches"
165,"HC",NA,"Kings in Disguise","Historical Fiction","Graphic Novel",1,136,"N/A","James","Vance",1,"USA","Unknown","1953-03-02",37,NA,NA,NA,1,NA,NA,NA,NA,"English",0,192,"Princeton, USA","Kitchen Sink Press",NA,"1990-10-01",9,0.8,11.8,"inches"
166,"HC",NA,"Love and Rockets, Vol. 12: Poison River","Coming of Age","Graphic Novel",1,69,"N/A","Gilbert","Hernandez",1,"USA","Other Race","1957-02-01",37,NA,NA,NA,1,NA,NA,NA,NA,"English",0,183,"Seattle, USA","Fantagraphics",NA,"1994-10-01",9,0.8,11.8,"inches"
167,"HC","1st Edition","Tantrum!","Comedy","Humor",1,137,"N/A","Jules Ralph","Feiffer",1,"USA","White","1929-01-26",50,NA,NA,NA,1,NA,NA,NA,NA,"English",0,183,"New York City","Random House Inc",NA,"1979-11-01",10.6,1.1,8.2,"inches"
168,"SC",NA,"The Ballad of Doctor Richardson","Romance","Graphic Novel",0,138,"N/A","Paul","Pope",1,"USA","White","1970-09-26",27,NA,NA,NA,1,NA,NA,NA,NA,"English",0,113,"Milwaukee, USA","Horse Press",NA,"1998-01-01",9.5,0.5,12.6,"inches"
169,"HC","First Edition","Are You My Mother? A Comic Drama","Memoir","Graphic Memoir",1,30,"N/A","Alison","Bechdel",0,"USA","White","1960-09-10",51,NA,NA,NA,0,NA,NA,NA,NA,"English",0,304,"Boston, USA","Houghton Mifflin Harcourt",NA,"2012-05-01",6.2,1,9.2,"inches"
170,"HC",NA,"The Diary of a Teenage Girl","Memoir","Graphic Memoir",1,209,"N/A","Phoebe Louise Adams","Gloeckner",0,"USA","White","1960-12-22",42,NA,NA,NA,0,NA,NA,NA,NA,"English",0,320,"Berkeley, USA","Frog Books",NA,"2003-02-28",6.8,1.3,9.5,"inches"
171,"HC",NA,"Stitches. A Memoir","Memoir","Graphic Memoir",1,210,"N/A","David","Small",1,"USA","White","1945-02-12",64,NA,NA,NA,1,NA,NA,NA,NA,"English",0,336,"New York City","W. W. Norton and Company",NA,"2009-09-08",7.4,1.1,9.3,"inches"
172,"HC",NA,"Psychiatric Tales","Educational","Non-Fiction",1,211,"N/A","Darryl","Cunningham",1,"UK","White","1960-01-01",50,NA,NA,NA,1,NA,NA,NA,NA,"English",0,150,"London","Blank Slate",NA,"2010-03-19",6.1,0.8,8.5,"inches"
173,"HC","First Edition","Habibi","Romance","Graphic Novel",0,43,"N/A","Craig","Thompson",1,"USA","White","1975-09-21",35,NA,NA,NA,1,NA,NA,NA,NA,"English",0,656,"New York City","Pantheon",NA,"2011-09-20",7.3,2,9.2,"inches"
174,"HC","First Edition","Harvey Pekar's Cleveland","Memoir","Graphic Memoir",0,11,"0","Harvey","Pekar",1,"USA","White","1939-10-08",72,"David","Wojnarowicz",1,1,"USA","White","1954-09-14",57,"English",0,120,"Marietta, Georgia, USA","Top Shelf Productions",NA,"2012-05-03",6.6,0.7,9.2,"inches"
